departamento;provincia
Ambato;Catamarca
Ancasti;Catamarca
Andalgalá;Catamarca
Antofagasta de la Sierra;Catamarca
Belén;Catamarca
Capayán;Catamarca
Capital;Catamarca
El Alto;Catamarca
Fray Mamerto Esquiú;Catamarca
La Paz;Catamarca
Paclín;Catamarca
Pomán;Catamarca
Santa María;Catamarca
Santa Rosa;Catamarca
Tinogasta;Catamarca
Valle Viejo;Catamarca
Cochinoca;Jujuy
Doctor Manuel Belgrano;Jujuy
El Carmen;Jujuy
Humahuaca;Jujuy
Ledesma;Jujuy
Palpalá;Jujuy
Rinconada;Jujuy
San Antonio;Jujuy
San Pedro;Jujuy
Santa Bárbara;Jujuy
Santa Catalina;Jujuy
Susques;Jujuy
Tilcara;Jujuy
Tumbaya;Jujuy
Valle Grande;Jujuy
Yavi;Jujuy
Capital;Mendoza
General Alvear;Mendoza
Godoy Cruz;Mendoza
Guaymallén;Mendoza
Junín;Mendoza
La Paz;Mendoza
Las Heras;Mendoza
Lavalle;Mendoza
Luján de Cuyo;Mendoza
Maipú;Mendoza
Malargüe;Mendoza
Rivadavia;Mendoza
San Carlos;Mendoza
San Martín;Mendoza
San Rafael;Mendoza
Santa Rosa;Mendoza
Tunuyán;Mendoza
Tupungato;Mendoza
Aluminé;Neuquén
Añelo;Neuquén
Catán Lil;Neuquén
Chos Malal;Neuquén
Collón Curá;Neuquén
Confluencia;Neuquén
Huiliches;Neuquén
Lácar;Neuquén
Loncopué;Neuquén
Los Lagos;Neuquén
Minas;Neuquén
Ñorquín;Neuquén
Pehuenches;Neuquén
Picunches;Neuquén
Picún Leufú;Neuquén
Zapala;Neuquén
Arauco;La Rioja
Capital;La Rioja
Castro Barros;La Rioja
Chamical;La Rioja
Chilecito;La Rioja
Coronel Felipe Varela;La Rioja
Famatina;La Rioja
General Ángel V. Peñaloza;La Rioja
General Belgrano;La Rioja
General Juan Facundo Quiroga;La Rioja
General Lamadrid;La Rioja
General Ocampo;La Rioja
General San Martín;La Rioja
Independencia;La Rioja
Rosario Vera Peñaloza;La Rioja
Sanagasta;La Rioja
San Blas de los Sauces;La Rioja
Vinchina;La Rioja
Biedma;Chubut
Cushamen;Chubut
Escalante;Chubut
Florentino Ameghino;Chubut
Futaleufú;Chubut
Gaiman;Chubut
Gastre;Chubut
Languiñeo;Chubut
Mártires;Chubut
Paso de Indios;Chubut
Rawson;Chubut
Río Senguer;Chubut
Sarmiento;Chubut
Tehuelches;Chubut
Telsen;Chubut
Adolfo Alsina;Río Negro
Avellaneda;Río Negro
Bariloche;Río Negro
Conesa;Río Negro
El Cuy;Río Negro
General Roca;Río Negro
Ñorquincó;Río Negro
Nueve de Julio (9 de Julio);Río Negro
Pichi Mahuida;Río Negro
Pilcaniyeu;Río Negro
San Antonio;Río Negro
Valcheta;Río Negro
Veinticinco de Mayo (25 de Mayo);Río Negro
Anta;Salta
Cachi;Salta
Cafayate;Salta
Capital;Salta
Cerrillos;Salta
Chicoana;Salta
General Güemes;Salta
General José de San Martín;Salta
Guachipas;Salta
Iruya;Salta
La Caldera;Salta
La Candelaria;Salta
La Poma;Salta
La Viña;Salta
Los Andes;Salta
Metán;Salta
Molinos;Salta
Orán;Salta
Rivadavia;Salta
Rosario de la Frontera;Salta
Rosario de Lerma;Salta
San Carlos;Salta
Santa Victoria;Salta
Aguirre;Santiago Del Estero
Alberdi;Santiago Del Estero
Atamisqui;Santiago Del Estero
Avellaneda;Santiago Del Estero
Banda;Santiago Del Estero
Belgrano;Santiago Del Estero
Capital;Santiago Del Estero
Choya;Santiago Del Estero
Copo;Santiago Del Estero
Figueroa;Santiago Del Estero
General Taboada;Santiago Del Estero
Guasayán;Santiago Del Estero
Jiménez;Santiago Del Estero
Juan F. Ibarra;Santiago Del Estero
Loreto;Santiago Del Estero
Mitre;Santiago Del Estero
Moreno;Santiago Del Estero
Ojo de Agua;Santiago Del Estero
Pellegrini;Santiago Del Estero
Quebrachos;Santiago Del Estero
Río Hondo;Santiago Del Estero
Rivadavia;Santiago Del Estero
Robles;Santiago Del Estero
Salavina;Santiago Del Estero
San Martín;Santiago Del Estero
Sarmiento;Santiago Del Estero
Silípica;Santiago Del Estero
Calamuchita;Córdoba
Capital;Córdoba
Colón;Córdoba
Cruz del Eje;Córdoba
General Roca;Córdoba
General San Martín;Córdoba
Ischilín;Córdoba
Juárez Celman;Córdoba
Marcos Juárez;Córdoba
Minas;Córdoba
Pocho;Córdoba
Presidente Roque Sáenz Peña;Córdoba
Punilla;Córdoba
Río Cuarto;Córdoba
Río Primero;Córdoba
Río Seco;Córdoba
Río Segundo;Córdoba
San Alberto;Córdoba
San Javier;Córdoba
San Justo;Córdoba
Santa María;Córdoba
Sobremonte;Córdoba
Tercero Arriba;Córdoba
Totoral;Córdoba
Tulumba;Córdoba
Unión;Córdoba
Adolfo Alsina;Buenos Aires
Adolfo Gonzales Chaves;Buenos Aires
Alberti;Buenos Aires
Almirante Brown;Buenos Aires
Arrecifes;Buenos Aires
Avellaneda;Buenos Aires
Ayacucho;Buenos Aires
Azul;Buenos Aires
Bahía Blanca;Buenos Aires
Balcarce;Buenos Aires
Baradero;Buenos Aires
Benito Juárez;Buenos Aires
Berazategui;Buenos Aires
Berisso;Buenos Aires
Bolívar;Buenos Aires
Bragado;Buenos Aires
Brandsen;Buenos Aires
Campana;Buenos Aires
Cañuelas;Buenos Aires
Capitán Sarmiento Carlos;Buenos Aires
Carlos Casares;Buenos Aires
Carlos Tejedor;Buenos Aires
Carmen de Areco;Buenos Aires
Castelli;Buenos Aires
Chacabuco;Buenos Aires
Chascomús;Buenos Aires
Chivilcoy;Buenos Aires
Colón;Buenos Aires
Coronel de Marina Leonardo Rosales;Buenos Aires
Coronel Dorrego;Buenos Aires
Coronel Pringles;Buenos Aires
Coronel Suárez;Buenos Aires
Daireaux;Buenos Aires
Dolores;Buenos Aires
Ensenada;Buenos Aires
Escobar;Buenos Aires
Esteban Echeverría;Buenos Aires
Exaltación de la Cruz;Buenos Aires
Ezeiza;Buenos Aires
Florencio Varela;Buenos Aires
Florentino Ameghino;Buenos Aires
General Alvarado;Buenos Aires
General Alvear;Buenos Aires
General Arenales;Buenos Aires
General Belgrano;Buenos Aires
General Guido;Buenos Aires
General Juan Madariaga;Buenos Aires
General La Madrid;Buenos Aires
General Las Heras;Buenos Aires
General Lavalle;Buenos Aires
General Paz;Buenos Aires
General Pinto;Buenos Aires
General Pueyrredón;Buenos Aires
General Rodríguez;Buenos Aires
General San Martín;Buenos Aires
General Viamonte;Buenos Aires
General Villegas;Buenos Aires
Guaminí;Buenos Aires
Hipólito Yrigoyen;Buenos Aires
Hurlingham;Buenos Aires
Ituzaingó;Buenos Aires
José C. Paz;Buenos Aires
Junín;Buenos Aires
La Costa;Buenos Aires
La Matanza;Buenos Aires
Lanús;Buenos Aires
La Plata;Buenos Aires
Laprida;Buenos Aires
Las Flores;Buenos Aires
Leandro N. Alem;Buenos Aires
Lincoln;Buenos Aires
Lobería;Buenos Aires
Lobos;Buenos Aires
Lomas de Zamora;Buenos Aires
Luján;Buenos Aires
Magdalena;Buenos Aires
Maipú;Buenos Aires
Malvinas Argentinas;Buenos Aires
Mar Chiquita;Buenos Aires
Marcos Paz;Buenos Aires
Mercedes;Buenos Aires
Merlo;Buenos Aires
Monte;Buenos Aires
Monte Hermoso;Buenos Aires
Moreno;Buenos Aires
Morón;Buenos Aires
Navarro;Buenos Aires
Necochea;Buenos Aires
Nueve de Julio (9 de Julio);Buenos Aires
Olavarría;Buenos Aires
Patagones;Buenos Aires
Pehuajó;Buenos Aires
Pellegrini;Buenos Aires
Pergamino;Buenos Aires
Pila;Buenos Aires
Pilar;Buenos Aires
Pinamar;Buenos Aires
Presidente Perón;Buenos Aires
Puan;Buenos Aires
Punta Indio;Buenos Aires
Quilmes;Buenos Aires
Ramallo;Buenos Aires
Rauch;Buenos Aires
Rivadavia;Buenos Aires
Rojas;Buenos Aires
Roque Pérez;Buenos Aires
Saavedra;Buenos Aires
Saladillo;Buenos Aires
Salliqueló;Buenos Aires
Salto;Buenos Aires
San Andrés de Giles;Buenos Aires
San Antonio de Areco;Buenos Aires
San Cayetano;Buenos Aires
San Fernando;Buenos Aires
San Isidro;Buenos Aires
San Miguel;Buenos Aires
San Nicolás;Buenos Aires
San Pedro;Buenos Aires
San Vicente;Buenos Aires
Suipacha;Buenos Aires
Tandil;Buenos Aires
Tapalqué;Buenos Aires
Tigre;Buenos Aires
Tordillo;Buenos Aires
Tornquist;Buenos Aires
Trenque Lauquen;Buenos Aires
Tres Arroyos;Buenos Aires
Tres de Febrero;Buenos Aires
Tres Lomas;Buenos Aires
Veinticinco de Mayo (25 de Mayo);Buenos Aires
Vicente López;Buenos Aires
Villa Gesell;Buenos Aires
Villarino;Buenos Aires
Zárate;Buenos Aires
Almirante Brown;Chaco
Bermejo;Chaco
Chacabuco;Chaco
Comandante Fernández;Chaco
Doce de Octubre (12 de Octubre);Chaco
Dos de Abril (2 de Abril);Chaco
Fray Justo Santa María de Oro;Chaco
General Belgrano;Chaco
General Donovan;Chaco
General Güemes;Chaco
Independencia;Chaco
Libertad;Chaco
Libertador General San Martín;Chaco
Maipú;Chaco
Mayor Luis Jorge Fontana;Chaco
Nueve de Julio (9 de Julio);Chaco
O'Higgins;Chaco
Presidencia de la Plaza;Chaco
Primero de Mayo (1º de Mayo);Chaco
Quitilipi;Chaco
San Fernando;Chaco
San Lorenzo;Chaco
Sargento Cabral;Chaco
Tapenagá;Chaco
Veinticinco de Mayo (25 de Mayo);Chaco
Bella Vista;Corrientes
Berón de Astrada;Corrientes
Capital;Corrientes
Concepción;Corrientes
Curuzú Cuatiá;Corrientes
Empedrado;Corrientes
Esquina;Corrientes
General Alvear;Corrientes
General Paz;Corrientes
Goya;Corrientes
Itatí;Corrientes
Ituzaingó;Corrientes
Lavalle;Corrientes
Mburucuyá;Corrientes
Mercedes;Corrientes
Monte Caseros;Corrientes
Paso de los Libres;Corrientes
Saladas;Corrientes
San Cosme;Corrientes
San Luis del Palmar;Corrientes
San Martín;Corrientes
San Miguel;Corrientes
San Roque;Corrientes
Santo Tomé;Corrientes
Sauce;Corrientes
Colón;Entre Ríos
Concordia;Entre Ríos
Diamante;Entre Ríos
Federación;Entre Ríos
Federal;Entre Ríos
Feliciano;Entre Ríos
Gualeguay;Entre Ríos
Gualeguaychú;Entre Ríos
Islas del Ibicuy;Entre Ríos
La Paz;Entre Ríos
Nogoyá;Entre Ríos
Paraná;Entre Ríos
San Salvador;Entre Ríos
Tala;Entre Ríos
Uruguay;Entre Ríos
Victoria;Entre Ríos
Villaguay;Entre Ríos
Bermejo;Formosa
Formosa;Formosa
Laishi;Formosa
Matacos;Formosa
Patiño;Formosa
Pilagás;Formosa
Pilcomayo;Formosa
Pirané;Formosa
Ramón Lista;Formosa
Atreucó;La Pampa
Caleu Caleu;La Pampa
Capital;La Pampa
Catriló;La Pampa
Chalileo;La Pampa
Chapaleufú;La Pampa
Chical Co;La Pampa
Conhelo;La Pampa
Curacó;La Pampa
Guatraché;La Pampa
Hucal;La Pampa
Lihuel Calel;La Pampa
Limay Mahuida;La Pampa
Loventué;La Pampa
Maracó;La Pampa
Puelén;La Pampa
Quemú Quemú;La Pampa
Rancul;La Pampa
Realicó;La Pampa
Toay;La Pampa
Trenel;La Pampa
Utracán;La Pampa
Apóstoles;Misiones
Cainguás;Misiones
Candelaria;Misiones
Capital;Misiones
Concepción;Misiones
Eldorado;Misiones
General Manuel Belgrano;Misiones
Guaraní;Misiones
Iguazú;Misiones
Leandro N. Alem;Misiones
Libertador General San Martín;Misiones
Montecarlo;Misiones
Oberá;Misiones
San Ignacio;Misiones
San Javier;Misiones
San Pedro;Misiones
Veinticinco de Mayo (25 de Mayo);Misiones
Adolfo Alsina;Río Negro
Avellaneda;Río Negro
Bariloche;Río Negro
Conesa;Río Negro
El Cuy;Río Negro
General Roca;Río Negro
Ñorquincó;Río Negro
Nueve de Julio (9 de Julio);Río Negro
Pichi Mahuida;Río Negro
Pilcaniyeu;Río Negro
San Antonio;Río Negro
Valcheta;Río Negro
Veinticinco de Mayo (25 de Mayo);Río Negro
Albardón;San Juan
Angaco;San Juan
Calingasta;San Juan
Capital;San Juan
Caucete;San Juan
Chimbas;San Juan
Iglesia;San Juan
Jáchal;San Juan
Nueve de Julio (9 de Julio);San Juan
Pocito;San Juan
Rawson;San Juan
Rivadavia;San Juan
San Martín;San Juan
Santa Lucía;San Juan
Sarmiento;San Juan
Ullum;San Juan
Valle Fértil;San Juan
Veinticinco de Mayo (25 de Mayo);San Juan
Zonda;San Juan
Ayacucho;San Luis
Belgrano;San Luis
Chacabuco;San Luis
Coronel Pringles;San Luis
General Pedernera;San Luis
Gobernador Dupuy;San Luis
Junín;San Luis
La Capital (Juan Martín de Pueyrredón);San Luis
Libertador General San Martín;San Luis
Corpen Aike;Santa Cruz
Deseado;Santa Cruz
Güer Aike;Santa Cruz
Lago Argentino;Santa Cruz
Lago Buenos Aires;Santa Cruz
Magallanes;Santa Cruz
Río Chico;Santa Cruz
Belgrano;Santa Fe
Caseros;Santa Fe
Castellanos;Santa Fe
Constitución;Santa Fe
Garay;Santa Fe
General López;Santa Fe
General Obligado;Santa Fe
Iriondo;Santa Fe
La Capital;Santa Fe
Las Colonias;Santa Fe
Nueve de Julio (9 de Julio);Santa Fe
Rosario;Santa Fe
San Cristóbal;Santa Fe
San Javier;Santa Fe
San Jerónimo;Santa Fe
San Justo;Santa Fe
San Lorenzo;Santa Fe
San Martín;Santa Fe
Vera;Santa Fe
Antártida Argentina;Tierra del Fuego
Islas del Atlántico Sur;Tierra del Fuego
Río Grande;Tierra del Fuego
Ushuaia;Tierra del Fuego
Burruyacú;Tucumán
Capital;Tucumán
Chicligasta;Tucumán
Cruz Alta;Tucumán
Famaillá;Tucumán
Graneros;Tucumán
Juan Bautista Alberdi;Tucumán
La Cocha;Tucumán
Leales;Tucumán
Lules;Tucumán
Monteros;Tucumán
Río Chico;Tucumán
Simoca;Tucumán
Tafí del Valle;Tucumán
Tafí Viejo;Tucumán
Trancas;Tucumán
Yerba Buena;Tucumán
